symbol,SL32271,SL5882,SL6338,SL6407,SL6409,SL6663,SL6670,SL7380,SL7622,SL7854
ADGRV1,2654,2443,5579,5546,10884,4311,5778,7716,4944,4285
ADH1A,1,0,2,3,2,2,0,2,3,3
ADH1B,35,8,16,41,49,22,23,15,52,12
ADH1C,0,0,3,2,4,2,1,0,1,0
ADH4,1,0,6,9,6,0,2,0,5,1
ADH5,876,678,2418,1005,3425,1610,2611,4309,2044,1523
ADH5P2,0,0,4,5,2,0,0,0,0,0
ADH5P3,12,3,6,17,12,7,13,8,7,14
ADH5P5,0,0,2,0,2,1,0,0,0,0
ADH6,1,0,6,15,6,1,0,3,2,2
ADH7,0,0,10,8,5,0,0,0,0,0
ADHFE1,370,197,859,376,1048,576,756,981,557,631
ADI1,572,386,1117,796,1892,1304,1840,2231,1115,787
ADI1P3,0,0,3,4,3,0,0,0,0,0
ADIG,4,4,7,5,7,2,8,10,5,4
ADIPOQ,0,0,4,10,4,1,1,0,0,0
ADIPOQ-AS1,1,0,4,2,2,0,0,0,0,0
ADIPOR1,1575,1112,3260,1514,4749,2444,3561,5639,3133,1301
ADIPOR2,1585,999,2990,3616,5238,2748,3942,4728,3780,3001
ADIRF,0,0,0,0,0,0,0,0,0,0
ADK,447,256,878,332,1424,982,1278,1745,814,572
ADM,284,40,201,884,398,44,214,89,127,550
ADM2,7,1,12,16,12,3,4,6,9,1
ADM5,54,16,39,42,39,45,50,53,39,21
ADNP,944,803,2781,1507,4536,1845,2804,5806,3112,2045
ADNP-AS1,35,19,25,44,61,44,56,79,62,63
ADNP2,420,205,800,413,1366,565,887,1407,970,539
ADO,501,287,1013,406,2044,896,1422,2075,1041,546
ADORA1,2308,1550,4166,2017,4926,5232,6314,5842,3613,2529
ADORA2A,71,21,39,38,27,44,73,38,37,19
ADORA2A-AS1,48,34,48,38,33,45,82,51,54,45
ADORA2B,178,96,165,329,429,128,334,571,301,186
ADPGK,386,229,524,441,1001,508,784,1164,807,550
ADPGK-AS1,27,10,29,27,53,24,23,36,16,14
ADPRH,45,24,78,76,112,54,88,166,79,80
ADPRHL1,117,56,101,75,133,158,194,145,178,66
ADPRM,51,47,130,75,202,112,190,242,114,102
ADPRS,763,365,1016,723,1290,1178,1565,1505,891,482
ADRA1A,62,35,177,53,145,66,148,177,126,174
ADRA1B,299,54,221,473,196,255,240,221,113,53
ADRA1D,118,45,203,46,202,196,293,182,173,16
ADRA2A,38,38,206,98,43,77,88,159,119,131
ADRA2C,2763,651,2283,795,1639,2561,3958,1702,1321,246
ADRB1,1059,261,860,942,6568,1288,1389,1841,1533,483
ADRB2,43,19,53,61,69,49,68,140,61,52
ADRB3,11,2,10,11,10,2,11,3,12,4
ADRM1,744,232,566,481,710,693,876,837,657,284
